기준월,여행구분,국가,권역,주요목적,입출국자수,평균체류일수,1인당평균지출액
2025-01-01,방한 외래객,일본,동북아,업무/출장,192359,,1339565.0
2025-01-01,국민 해외여행객,일본,동북아,관광/휴양,195217,,987686.0
2025-01-01,방한 외래객,중국,동북아,관광/휴양,147502,6.3,1736924.0
2025-01-01,국민 해외여행객,중국,동북아,관광/휴양,118023,7.6,1876428.0
2025-01-01,방한 외래객,대만,동북아,관광/휴양,108852,4.3,1081277.0
2025-01-01,국민 해외여행객,대만,동북아,관광/휴양,43433,4.7,1399230.0
2025-01-01,방한 외래객,미국,미주,관광/휴양,96642,9.8,2532443.0
2025-01-01,국민 해외여행객,미국,미주,친지 방문,132895,10.6,2774937.0
2025-01-01,방한 외래객,호주,대양주,친지 방문,22685,11.4,2706156.0
2025-01-01,국민 해외여행객,호주,대양주,업무/출장,35917,11.5,2979677.0
2025-01-01,방한 외래객,베트남,동남아,교육/연수,54850,5.1,1372228.0
2025-01-01,국민 해외여행객,베트남,동남아,관광/휴양,44042,8.0,1428613.0
2025-01-01,방한 외래객,태국,동남아,관광/휴양,35028,6.0,1349858.0
2025-01-01,국민 해외여행객,태국,동남아,관광/휴양,62232,6.2,1623249.0
2025-01-01,방한 외래객,필리핀,동남아,업무/출장,33936,,1320235.0
2025-01-01,국민 해외여행객,필리핀,동남아,관광/휴양,32352,9.0,1435075.0
2025-01-01,방한 외래객,말레이시아,동남아,친지 방문,29371,4.7,1404445.0
2025-01-01,국민 해외여행객,말레이시아,동남아,관광/휴양,23796,5.6,1770992.0
2025-01-01,방한 외래객,싱가포르,동남아,업무/출장,23592,5.4,1930431.0
2025-01-01,국민 해외여행객,싱가포르,동남아,관광/휴양,26627,4.9,1925759.0
2025-02-01,방한 외래객,일본,동북아,관광/휴양,254880,4.1,1160874.0
2025-02-01,국민 해외여행객,일본,동북아,관광/휴양,211335,4.5,1237147.0
2025-02-01,방한 외래객,중국,동북아,관광/휴양,173303,7.1,1818039.0
2025-02-01,국민 해외여행객,중국,동북아,친지 방문,115890,7.8,1785056.0
2025-02-01,방한 외래객,대만,동북아,업무/출장,125884,5.3,1474900.0
2025-02-01,국민 해외여행객,대만,동북아,관광/휴양,45874,4.9,
2025-02-01,방한 외래객,미국,미주,관광/휴양,91730,9.5,2192473.0
2025-02-01,국민 해외여행객,미국,미주,관광/휴양,129634,10.6,2698565.0
2025-02-01,방한 외래객,호주,대양주,친지 방문,24824,10.1,
2025-02-01,국민 해외여행객,호주,대양주,관광/휴양,36938,12.2,3690570.0
2025-02-01,방한 외래객,베트남,동남아,관광/휴양,58654,7.1,1554722.0
2025-02-01,국민 해외여행객,베트남,동남아,관광/휴양,49404,7.0,1131104.0
2025-02-01,방한 외래객,태국,동남아,관광/휴양,34399,5.5,1557990.0
2025-02-01,국민 해외여행객,태국,동남아,관광/휴양,58543,5.4,1718053.0
2025-02-01,방한 외래객,필리핀,동남아,친지 방문,36125,7.7,1165131.0
2025-02-01,국민 해외여행객,필리핀,동남아,관광/휴양,35635,8.0,
2025-02-01,방한 외래객,말레이시아,동남아,관광/휴양,28985,6.3,1569759.0
2025-02-01,국민 해외여행객,말레이시아,동남아,관광/휴양,150185,6.3,1428396.0
2025-02-01,방한 외래객,싱가포르,동남아,교육/연수,23819,4.8,1838850.0
2025-02-01,국민 해외여행객,싱가포르,동남아,관광/휴양,25061,5.7,2219046.0
2025-03-01,방한 외래객,일본,동북아,관광/휴양,256351,2.2,1309943.0
2025-03-01,국민 해외여행객,일본,동북아,관광/휴양,212000,4.9,1062511.0
2025-03-01,방한 외래객,중국,동북아,업무/출장,188443,6.8,1811795.0
2025-03-01,국민 해외여행객,중국,동북아,교육/연수,118070,6.5,1810131.0
2025-03-01,방한 외래객,대만,동북아,관광/휴양,136127,3.5,1212961.0
2025-03-01,국민 해외여행객,대만,동북아,관광/휴양,46673,4.9,998526.0
2025-03-01,방한 외래객,미국,미주,관광/휴양,120555,8.7,2370875.0
2025-03-01,국민 해외여행객,미국,미주,교육/연수,139565,10.1,2532769.0
2025-03-01,방한 외래객,호주,대양주,관광/휴양,25580,11.2,2965235.0
2025-03-01,국민 해외여행객,호주,대양주,관광/휴양,40379,11.2,3199474.0
2025-03-01,방한 외래객,베트남,동남아,업무/출장,60004,7.0,985555.0
2025-03-01,국민 해외여행객,베트남,동남아,관광/휴양,49982,7.9,1631005.0
2025-03-01,방한 외래객,태국,동남아,관광/휴양,34943,5.7,1391642.0
2025-03-01,국민 해외여행객,태국,동남아,관광/휴양,63256,6.3,1928376.0
2025-03-01,방한 외래객,필리핀,동남아,업무/출장,41553,6.9,1467331.0
2025-03-01,국민 해외여행객,필리핀,동남아,업무/출장,37432,7.5,1321990.0
2025-03-01,방한 외래객,말레이시아,동남아,관광/휴양,30927,5.0,1645778.0
2025-03-01,국민 해외여행객,말레이시아,동남아,관광/휴양,24931,4.9,1849355.0
2025-03-01,방한 외래객,싱가포르,동남아,관광/휴양,25679,5.2,2126747.0
2025-03-01,국민 해외여행객,싱가포르,동남아,관광/휴양,27168,5.8,2227629.0
2025-04-01,방한 외래객,일본,동북아,친지 방문,274755,4.2,1070854.0
2025-04-01,국민 해외여행객,일본,동북아,관광/휴양,230716,3.8,1307157.0
2025-04-01,방한 외래객,중국,동북아,관광/휴양,224978,5.6,2032117.0
2025-04-01,국민 해외여행객,중국,동북아,관광/휴양,143036,6.8,1747793.0
2025-04-01,방한 외래객,대만,동북아,관광/휴양,132409,4.4,1296170.0
2025-04-01,국민 해외여행객,대만,동북아,관광/휴양,48454,4.7,1225321.0
2025-04-01,방한 외래객,미국,미주,관광/휴양,123634,9.3,2290813.0
2025-04-01,국민 해외여행객,미국,미주,업무/출장,151659,10.0,2835670.0
2025-04-01,방한 외래객,호주,대양주,업무/출장,28896,10.5,2770297.0
2025-04-01,국민 해외여행객,호주,대양주,관광/휴양,36749,11.8,3259761.0
2025-04-01,방한 외래객,베트남,동남아,업무/출장,65449,6.1,1428698.0
2025-04-01,국민 해외여행객,베트남,동남아,관광/휴양,52133,,1613978.0
2025-04-01,방한 외래객,태국,동남아,업무/출장,38895,5.9,1434341.0
2025-04-01,국민 해외여행객,태국,동남아,교육/연수,74309,6.6,2036860.0
2025-04-01,방한 외래객,필리핀,동남아,친지 방문,40358,6.6,956723.0
2025-04-01,국민 해외여행객,필리핀,동남아,친지 방문,36852,7.2,1633060.0
2025-04-01,방한 외래객,말레이시아,동남아,관광/휴양,33319,,1697000.0
2025-04-01,국민 해외여행객,말레이시아,동남아,관광/휴양,31460,6.6,1108501.0
2025-04-01,방한 외래객,싱가포르,동남아,관광/휴양,30929,4.1,1985321.0
2025-04-01,국민 해외여행객,싱가포르,동남아,관광/휴양,30511,4.7,1905440.0
2025-05-01,방한 외래객,일본,동북아,,279792,3.8,1082310.0
2025-05-01,국민 해외여행객,일본,동북아,관광/휴양,258130,2.9,1157565.0
2025-05-01,방한 외래객,중국,동북아,업무/출장,182945,5.2,9085843.0
2025-05-01,국민 해외여행객,중국,동북아,관광/휴양,131795,7.6,2023355.0
2025-05-01,방한 외래객,대만,동북아,친지 방문,131575,5.7,1437943.0
2025-05-01,국민 해외여행객,대만,동북아,관광/휴양,45535,5.4,
2025-05-01,방한 외래객,미국,미주,관광/휴양,102684,9.4,2837872.0
2025-05-01,국민 해외여행객,미국,미주,관광/휴양,137248,11.0,2157705.0
2025-05-01,방한 외래객,호주,대양주,관광/휴양,24791,10.7,2382215.0
2025-05-01,국민 해외여행객,호주,대양주,관광/휴양,43884,11.6,2709236.0
2025-05-01,방한 외래객,베트남,동남아,관광/휴양,55676,6.7,1499746.0
2025-05-01,국민 해외여행객,베트남,동남아,관광/휴양,57727,8.3,1333181.0
2025-05-01,방한 외래객,태국,동남아,,38359,5.6,1244900.0
2025-05-01,국민 해외여행객,태국,동남아,관광/휴양,74112,4.9,1791746.0
2025-05-01,방한 외래객,필리핀,동남아,업무/출장,48999,7.4,1632603.0
2025-05-01,국민 해외여행객,필리핀,동남아,관광/휴양,40722,7.1,1325356.0
2025-05-01,방한 외래객,말레이시아,동남아,관광/휴양,35378,6.0,1525343.0
2025-05-01,국민 해외여행객,말레이시아,동남아,업무/출장,27056,7.5,1670274.0
2025-05-01,방한 외래객,싱가포르,동남아,업무/출장,26632,4.3,1909438.0
2025-05-01,국민 해외여행객,싱가포르,동남아,친지 방문,28783,5.2,2206441.0
2025-06-01,방한 외래객,일본,동북아,업무/출장,239006,2.9,1216170.0
2025-06-01,국민 해외여행객,일본,동북아,관광/휴양,222584,,1163090.0
2025-06-01,방한 외래객,중국,동북아,관광/휴양,197927,7.0,1628671.0
2025-06-01,국민 해외여행객,중국,동북아,관광/휴양,113115,5.9,1952068.0
2025-06-01,방한 외래객,대만,동북아,관광/휴양,110475,4.6,1344934.0
2025-06-01,국민 해외여행객,대만,동북아,관광/휴양,43868,4.3,1112463.0
2025-06-01,방한 외래객,미국,미주,교육/연수,100222,8.7,2502618.0
2025-06-01,국민 해외여행객,미국,미주,업무/출장,140848,10.2,2886759.0
2025-06-01,방한 외래객,호주,대양주,관광/휴양,27332,10.8,2743952.0
2025-06-01,국민 해외여행객,호주,대양주,업무/출장,39264,11.6,2263576.0
2025-06-01,방한 외래객,베트남,동남아,업무/출장,58248,6.8,1294973.0
2025-06-01,국민 해외여행객,베트남,동남아,업무/출장,49858,5.9,1504760.0
2025-06-01,방한 외래객,태국,동남아,,35395,6.9,1396065.0
2025-06-01,국민 해외여행객,태국,동남아,관광/휴양,65374,6.2,1506874.0
2025-06-01,방한 외래객,필리핀,동남아,교육/연수,40179,8.0,1235699.0
2025-06-01,국민 해외여행객,필리핀,동남아,관광/휴양,35925,8.2,1423612.0
2025-06-01,방한 외래객,말레이시아,동남아,교육/연수,30390,,1502054.0
2025-06-01,국민 해외여행객,말레이시아,동남아,교육/연수,22845,5.9,1732473.0
2025-06-01,방한 외래객,싱가포르,동남아,친지 방문,25419,5.6,2337636.0
2025-06-01,국민 해외여행객,싱가포르,동남아,업무/출장,24334,5.6,2018816.0
2025-07-01,방한 외래객,일본,동북아,교육/연수,256776,5.2,1203012.0
2025-07-01,국민 해외여행객,일본,동북아,관광/휴양,267753,5.7,1258233.0
2025-07-01,방한 외래객,중국,동북아,관광/휴양,211211,6.7,1541030.0
2025-07-01,국민 해외여행객,중국,동북아,관광/휴양,149886,8.3,2144623.0
2025-07-01,방한 외래객,대만,동북아,관광/휴양,149597,5.6,1121049.0
2025-07-01,국민 해외여행객,대만,동북아,관광/휴양,50907,5.5,1226637.0
2025-07-01,방한 외래객,미국,미주,관광/휴양,121871,9.5,2687114.0
2025-07-01,국민 해외여행객,미국,미주,관광/휴양,138094,10.0,2756974.0
2025-07-01,방한 외래객,호주,대양주,업무/출장,29724,10.1,2708612.0
2025-07-01,국민 해외여행객,호주,대양주,관광/휴양,47993,12.1,2893853.0
2025-07-01,방한 외래객,베트남,동남아,관광/휴양,65777,8.3,1269663.0
2025-07-01,국민 해외여행객,베트남,동남아,교육/연수,60128,6.6,1451144.0
2025-07-01,방한 외래객,태국,동남아,친지 방문,43099,5.2,1452985.0
2025-07-01,국민 해외여행객,태국,동남아,관광/휴양,71861,6.2,2098300.0
2025-07-01,방한 외래객,필리핀,동남아,관광/휴양,40624,6.9,
2025-07-01,국민 해외여행객,필리핀,동남아,관광/휴양,39740,8.6,1560663.0
2025-07-01,방한 외래객,말레이시아,동남아,친지 방문,36156,5.6,1713509.0
2025-07-01,국민 해외여행객,말레이시아,동남아,관광/휴양,29800,6.1,1967744.0
2025-07-01,방한 외래객,싱가포르,동남아,관광/휴양,25408,5.2,1866142.0
2025-07-01,국민 해외여행객,싱가포르,동남아,관광/휴양,27875,6.1,2316024.0
2025-08-01,방한 외래객,일본,동북아,업무/출장,283698,2.8,1182463.0
2025-08-01,국민 해외여행객,일본,동북아,관광/휴양,257495,5.0,1082491.0
2025-08-01,방한 외래객,중국,동북아,관광/휴양,213268,5.7,1644830.0
2025-08-01,국민 해외여행객,중국,동북아,관광/휴양,137675,6.5,1961068.0
2025-08-01,방한 외래객,대만,동북아,관광/휴양,136082,4.2,1355011.0
2025-08-01,국민 해외여행객,대만,동북아,관광/휴양,55302,5.2,1571982.0
2025-08-01,방한 외래객,미국,미주,업무/출장,115255,,2563222.0
